Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,16543,0,1,252317.97,0,93,GOLD,Long Tenure,0,1,1,1,8649,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,8,0,4,0,15,225,642.03045802,393,0,100000,240002003.09,1,0
1,16544,0,1,7433.93,1,228,GREEN,Long Tenure,0,1,1,0,51984,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,11,1,0,1,11,121,97.814868421,38,0,0,682984,0,1
1,16549,0,1,263998.67,1,175,GOLD,Long Tenure,0,1,0,1,30625,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,6,0,6,0,7,49,3299.983375,40,0.0196516962,453002,2003512,1,0
1,16564,0,1,91756.93,1,236,GREEN,Long Tenure,0,1,1,1,55696,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,10,0,2,0,10,100,890.84398058,51.5,0,135000,1001863,0,1
1,16571,1,1,9042.91,1,176,GREEN,Long Tenure,0,1,1,1,30976,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,12,0,0,1,9,81,63.237132867,71.5,0,82421,243639555.59,0,1
1,16572,0,2,2448179.55,17,106,PLATINUM,Long Tenure,1,1,0,1,11236,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,12,0.7576808822,19,361,797.19295018,161.63157895,0,0,19086012,0,0
1,16585,0,1,187707.03,0,123,PLATINUM,Long Tenure,1,1,1,1,15129,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3,0,14,196,472.81367758,397,0,208983,359409,0,0
1,16588,0,1,238729.01,0,76,GREEN,Long Tenure,0,1,1,1,5776,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,0,6,0.6187930277,11,121,2744.0116092,87,0,211100,2812773,0,1
1,16589,0,1,306768.63,0,73,PLATINUM,Long Tenure,1,1,1,1,5329,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,3,0,9,0,5,25,12782.02625,24,0.0000689608,407878,313611,0,0
1,16605,0,1,70170.79,0,110,GOLD,Long Tenure,0,1,1,0,12100,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12,0,0,0.6975431835,14,196,125.52914132,559,0,0,235049150.02,1,0
1,16612,0,1,300082.13,0,74,GOLD,Long Tenure,0,1,1,1,5476,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,5,0,7,0,11,121,1408.8362911,213,0,376943,3157027,1,0
1,16618,1,1,96313.59,1,78,PLATINUM,Long Tenure,1,1,1,0,6084,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,7,4,0,1,1,9631.359,5,0,0,1277270,0,0
1,16623,0,1,44298.55,0,175,GOLD,Long Tenure,0,1,1,1,30625,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,1,9,81,642.00797101,69,0.0637690579,100000,1135503,1,0
1,16624,1,1,68678.94,1,97,PLATINUM,Long Tenure,1,1,1,1,9409,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,13,169,385.83674157,89,0,202500,2587067,0,0
1,16629,1,1,16551.12,0,167,GOLD,Long Tenure,0,1,1,0,27889,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,1,0,0,8,64,157.62971429,105,0.3378643115,0,590763,1,0
1,16632,1,1,123351.32,1,139,GOLD,Long Tenure,0,1,1,1,19321,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,11,0,1,0,17,289,329.81636364,187,0.1599963219,300000,1552060,1,0
1,16637,0,1,1761.39,0,117,GOLD,Long Tenure,0,1,1,0,13689,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2,10,0,0,3,9,587.13,3,0,0,1379777,1,0
1,16645,1,1,1058733.18,0,139,PLATINUM,Long Tenure,1,1,1,1,19321,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0.0171123496,18,324,1004.4906831,1054,0.0002566886,1490000,448407,0,0
1,16647,1,1,14423.7,0,183,GOLD,Long Tenure,0,1,1,0,33489,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,12,0,0,0,14,196,228.94761905,63,0,0,238833121.6,1,0
1,16651,0,1,53290.29,0,178,GOLD,Long Tenure,0,0,0,0,31684,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,12,0,0,0,13,169,386.16152174,138,0,0,266105247.96,1,0
1,16652,1,1,432042.48,0,83,PLATINUM,Long Tenure,1,1,1,1,6889,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,11,1,15,225,1317.2026829,328,0.000251631,464000,1200000,0,0
1,16659,0,1,0,0,108,GOLD,Long Tenure,0,1,1,0,11664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,1036680,1,0
1,16660,0,1,22618.2,0,98,GOLD,Long Tenure,0,1,1,0,9604,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,12,0,0,0.5425440623,12,144,151.8,149,0.0016170347,0,981225,1,0
1,16662,0,1,112914.95,0,169,GOLD,Long Tenure,0,1,1,1,28561,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,11,0,1,0.167661458,18,324,258.38661327,437,0.0369041577,127803,496906,1,0
1,16668,1,1,272103.16,0,118,PLATINUM,Long Tenure,1,1,1,1,13924,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,9,0,3,0.8255927249,17,289,660.44456311,412,0.0041863607,318030,11824495,0,0
1,16669,0,1,253768.81,0,78,GOLD,Long Tenure,0,1,1,1,6084,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,5,1,11,121,2699.6681915,94,0,0,154219,1,0
1,16670,1,1,96766.21,0,112,GOLD,Long Tenure,0,1,1,1,12544,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.75,11,121,225.56226107,429,0,165600,417309,1,0
1,16689,0,1,690,0,172,GOLD,Long Tenure,0,1,1,0,29584,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,11,0,0,1,1,690,1,0,0,14927164,1,0
