Selected,pseudo_key,has_cons,num_sbs_accts,customer_sbs_spend,cust_lvl_supps,customer_sbs_tenure,PRODUCT_COLOR,segment,platinum,fee,core,redeemer,tenure_sq,freq_traveler,prem_freq_traveler,d_telesalesOB,d_telesalesIB,d_F2F,d_acq_miss,d_eng_acct,d_bus_serv,d_constr,d_misc_retail,d_real_estate,d_wholesale,d_health_serv,d_eat_drink,firm_miss,spend_freq,inactive_freq,high_spend_freq,summer_fun,num_cat,num_cat_sq,spnd_per_trans,trans_per_card,advert_B2B,pts_redeemed_new,imput_rev_cond_fill,gold,green
1,5608,1,1,76569.34,1,43,GOLD,Short Tenure,0,1,1,1,1849,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,6,36,1367.3096429,28,0,0,3040142,1,0
1,5614,1,1,0,0,23,GOLD,Short Tenure,0,1,1,0,529,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,12,0,0,0,0,0,0,0,0,30000,1,0
1,5615,1,1,6803.84,0,23,GOLD,Short Tenure,0,1,1,0,529,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12,0,0,0,4,16,183.88756757,37,0,0,10000,1,0
1,5629,1,1,757014.79,0,39,PLATINUM,Short Tenure,1,1,1,1,1521,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,1,16,256,1230.9183577,615,0.3007967059,1697959,700000,0,0
1,5637,1,1,1068554.05,7,27,PLATINUM,Short Tenure,1,1,1,0,729,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,9,0.0005152841,17,289,1059.0228444,126.125,0.0003215443,0,2003502,0,0
1,5649,0,1,105992.84,4,18,PLATINUM,Short Tenure,1,1,1,1,324,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,2,0.1125440932,13,169,602.23204545,35.2,0,928481,4317428,0,0
1,5651,1,1,2799.52,0,52,GREEN,Short Tenure,0,1,1,1,2704,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,6,36,25.220900901,111,0,99399,40000,0,1
1,5661,1,1,48253,3,43,GOLD,Short Tenure,0,0,1,1,1849,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,12,0,0,0,14,196,95.740079365,126,0.0304676812,103770,418169,1,0
1,5666,0,1,285833.72,0,48,PLATINUM,Short Tenure,1,1,1,1,2304,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,4,4,4,0,6,36,9856.3351724,29,0,0,1223201,0,0
1,5668,1,1,6996.92,1,12,GREEN,Short Tenure,0,1,1,1,144,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,1,0,0,8,64,194.35888889,18,0,330630,30000,0,1
1,5674,1,1,75321.79,2,30,PLATINUM,Short Tenure,1,1,1,1,900,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,0,1,0.3936007855,17,289,125.53631667,200,0.0034111932,208152,750000,0,0
1,5683,1,1,227449.63,1,39,GOLD,Short Tenure,0,0,1,1,1521,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0,7,0,7,49,2707.7336905,42,0,0,359409,1,0
1,5686,1,1,258400.91,0,29,PLATINUM,Short Tenure,1,1,1,1,841,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,4,3,5,0,3,9,15200.053529,17,0.9812436419,89000,7641744,0,0
1,5688,1,1,21594.36,0,48,GOLD,Short Tenure,0,1,1,1,2304,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,13,169,122.69522727,176,0,0,321741,1,0
1,5693,1,1,0,0,48,GOLD,Short Tenure,0,1,1,0,2304,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,43135274,1,0
1,5698,1,1,13989.98,0,14,GOLD,Short Tenure,0,0,1,1,196,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,7,5,0,0,11,121,269.03807692,52,0,20000,700000,1,0
1,5701,1,1,857549.14,1,17,PLATINUM,Short Tenure,1,1,1,1,289,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,11,0,3,9,15313.3775,28,0,580000,6043834,0,0
